file,n_articles,citations_total
../data/raw/1038.jsonl.gz,0,0
../data/raw/10380.jsonl.gz,20,499
../data/raw/10381.jsonl.gz,6,294
../data/raw/10382.jsonl.gz,14,530
../data/raw/10383.jsonl.gz,11,282
../data/raw/10384.jsonl.gz,11,589
../data/raw/10385.jsonl.gz,12,322
../data/raw/10386.jsonl.gz,3,44
../data/raw/10387.jsonl.gz,6,42
../data/raw/10388.jsonl.gz,22,676
../data/raw/10389.jsonl.gz,31,563
../data/raw/1039.jsonl.gz,0,0
../data/raw/10390.jsonl.gz,2,14
../data/raw/10391.jsonl.gz,18,371
../data/raw/10392.jsonl.gz,5,140
../data/raw/10393.jsonl.gz,6,42
../data/raw/10394.jsonl.gz,11,287
../data/raw/10395.jsonl.gz,14,434
../data/raw/10396.jsonl.gz,0,0
../data/raw/10397.jsonl.gz,23,729
../data/raw/10398.jsonl.gz,5,72
../data/raw/10399.jsonl.gz,14,282
../data/raw/104.jsonl.gz,0,0
../data/raw/1040.jsonl.gz,0,0
../data/raw/10400.jsonl.gz,5,236
../data/raw/10401.jsonl.gz,5,66
../data/raw/10402.jsonl.gz,19,827
../data/raw/10403.jsonl.gz,2,46
../data/raw/10404.jsonl.gz,6,76
../data/raw/10405.jsonl.gz,0,0
../data/raw/10406.jsonl.gz,2,18
../data/raw/10407.jsonl.gz,5,76
../data/raw/10408.jsonl.gz,15,300
../data/raw/10409.jsonl.gz,12,231
../data/raw/1041.jsonl.gz,0,0
../data/raw/10410.jsonl.gz,31,676
../data/raw/10411.jsonl.gz,17,352
../data/raw/10412.jsonl.gz,5,126
../data/raw/10413.jsonl.gz,7,175
../data/raw/10414.jsonl.gz,23,1732
../data/raw/10415.jsonl.gz,10,62
../data/raw/10416.jsonl.gz,15,244
../data/raw/10417.jsonl.gz,4,173
../data/raw/10418.jsonl.gz,6,75
../data/raw/10419.jsonl.gz,12,368
../data/raw/1042.jsonl.gz,0,0
../data/raw/10420.jsonl.gz,9,204
../data/raw/10421.jsonl.gz,11,114
../data/raw/10422.jsonl.gz,10,261
../data/raw/10423.jsonl.gz,17,771
../data/raw/10424.jsonl.gz,12,663
../data/raw/10425.jsonl.gz,12,552
../data/raw/10426.jsonl.gz,5,142
../data/raw/10427.jsonl.gz,10,138
../data/raw/10428.jsonl.gz,33,831
../data/raw/10429.jsonl.gz,12,156
../data/raw/1043.jsonl.gz,0,0
../data/raw/10430.jsonl.gz,16,624
../data/raw/10431.jsonl.gz,16,748
../data/raw/10432.jsonl.gz,23,897
../data/raw/10433.jsonl.gz,38,1337
../data/raw/10434.jsonl.gz,4,94
../data/raw/10435.jsonl.gz,5,56
../data/raw/10436.jsonl.gz,5,180
../data/raw/10437.jsonl.gz,16,451
../data/raw/10438.jsonl.gz,13,251
../data/raw/10439.jsonl.gz,15,634
../data/raw/1044.jsonl.gz,0,0
../data/raw/10440.jsonl.gz,13,338
../data/raw/10441.jsonl.gz,19,562
../data/raw/10442.jsonl.gz,6,100
../data/raw/10443.jsonl.gz,2,6
../data/raw/10444.jsonl.gz,2,43
../data/raw/10445.jsonl.gz,2,19
../data/raw/10446.jsonl.gz,18,475
../data/raw/10447.jsonl.gz,11,630
../data/raw/10448.jsonl.gz,21,775
../data/raw/10449.jsonl.gz,10,493
../data/raw/1045.jsonl.gz,0,0
../data/raw/10450.jsonl.gz,1,48
../data/raw/10451.jsonl.gz,6,69
../data/raw/10452.jsonl.gz,1,2
../data/raw/10453.jsonl.gz,0,0
../data/raw/10454.jsonl.gz,18,380
../data/raw/10455.jsonl.gz,38,1460
../data/raw/10456.jsonl.gz,27,463
../data/raw/10457.jsonl.gz,31,1296
../data/raw/10458.jsonl.gz,18,422
../data/raw/10459.jsonl.gz,17,450
../data/raw/1046.jsonl.gz,0,0
../data/raw/10460.jsonl.gz,28,778
../data/raw/10461.jsonl.gz,19,525
../data/raw/10462.jsonl.gz,6,108
../data/raw/10463.jsonl.gz,9,188
../data/raw/10464.jsonl.gz,15,432
../data/raw/10465.jsonl.gz,6,68
../data/raw/10466.jsonl.gz,7,207
../data/raw/10467.jsonl.gz,0,0
../data/raw/10468.jsonl.gz,11,478
../data/raw/10469.jsonl.gz,8,354
../data/raw/1047.jsonl.gz,0,0
../data/raw/10470.jsonl.gz,10,273
../data/raw/10471.jsonl.gz,4,36
../data/raw/10472.jsonl.gz,8,338
../data/raw/10473.jsonl.gz,3,47
../data/raw/10474.jsonl.gz,3,36
../data/raw/10475.jsonl.gz,10,283
../data/raw/10476.jsonl.gz,5,96
../data/raw/10477.jsonl.gz,16,415
../data/raw/10478.jsonl.gz,6,204
../data/raw/10479.jsonl.gz,5,136
../data/raw/1048.jsonl.gz,0,0
../data/raw/10480.jsonl.gz,11,197
../data/raw/10481.jsonl.gz,15,414
../data/raw/10482.jsonl.gz,13,256
../data/raw/10483.jsonl.gz,0,0
../data/raw/10484.jsonl.gz,2,11
../data/raw/10485.jsonl.gz,10,169
../data/raw/10486.jsonl.gz,15,460
../data/raw/10487.jsonl.gz,7,160
../data/raw/10488.jsonl.gz,11,190
../data/raw/10489.jsonl.gz,10,160
../data/raw/1049.jsonl.gz,0,0
../data/raw/10490.jsonl.gz,17,206
../data/raw/10491.jsonl.gz,11,208
../data/raw/10492.jsonl.gz,9,268
../data/raw/10493.jsonl.gz,9,180
../data/raw/10494.jsonl.gz,18,504
../data/raw/10495.jsonl.gz,13,302
../data/raw/10496.jsonl.gz,9,124
../data/raw/10497.jsonl.gz,30,1103
../data/raw/10498.jsonl.gz,13,437
../data/raw/10499.jsonl.gz,30,584
../data/raw/105.jsonl.gz,0,0
../data/raw/1050.jsonl.gz,0,0
../data/raw/10500.jsonl.gz,25,541
../data/raw/10501.jsonl.gz,18,462
../data/raw/10502.jsonl.gz,17,462
../data/raw/10503.jsonl.gz,2,15
../data/raw/10504.jsonl.gz,14,676
../data/raw/10505.jsonl.gz,9,428
../data/raw/10506.jsonl.gz,13,316
../data/raw/10507.jsonl.gz,2,76
../data/raw/10508.jsonl.gz,5,82
../data/raw/10509.jsonl.gz,18,597
../data/raw/1051.jsonl.gz,0,0
../data/raw/10510.jsonl.gz,4,178
../data/raw/10511.jsonl.gz,5,53
../data/raw/10512.jsonl.gz,8,100
../data/raw/10513.jsonl.gz,7,109
../data/raw/10514.jsonl.gz,11,245
../data/raw/10515.jsonl.gz,10,396
../data/raw/10516.jsonl.gz,9,194
../data/raw/10517.jsonl.gz,1,7
../data/raw/10518.jsonl.gz,2,22
../data/raw/10519.jsonl.gz,5,80
../data/raw/1052.jsonl.gz,0,0
../data/raw/10520.jsonl.gz,2,90
../data/raw/10521.jsonl.gz,6,159
../data/raw/10522.jsonl.gz,6,112
../data/raw/10523.jsonl.gz,14,377
../data/raw/10524.jsonl.gz,13,304
../data/raw/10525.jsonl.gz,9,201
../data/raw/10526.jsonl.gz,16,373
../data/raw/10527.jsonl.gz,35,856
../data/raw/10528.jsonl.gz,27,1267
../data/raw/10529.jsonl.gz,16,606
../data/raw/1053.jsonl.gz,0,0
../data/raw/10530.jsonl.gz,18,622
../data/raw/10531.jsonl.gz,10,160
../data/raw/10532.jsonl.gz,5,86
../data/raw/10533.jsonl.gz,12,841
../data/raw/10534.jsonl.gz,11,646
../data/raw/10535.jsonl.gz,11,241
../data/raw/10536.jsonl.gz,10,328
../data/raw/10537.jsonl.gz,6,116
../data/raw/10538.jsonl.gz,8,436
../data/raw/10539.jsonl.gz,13,498
../data/raw/1054.jsonl.gz,0,0
../data/raw/10540.jsonl.gz,14,296
../data/raw/10541.jsonl.gz,0,0
../data/raw/10542.jsonl.gz,18,676
../data/raw/10543.jsonl.gz,11,330
../data/raw/10544.jsonl.gz,8,366
